@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 numeric

@data
324,'2021/02/15 01:50:54:179',19,4,0
325,'2021/02/15 01:50:54:190',19,4,0
326,'2021/02/15 01:50:54:199',19,4,0
327,'2021/02/15 01:50:54:210',19,4,0
328,'2021/02/15 01:50:54:219',19,4,0
329,'2021/02/15 01:50:54:229',19,4,0
330,'2021/02/15 01:50:54:239',19,4,0
331,'2021/02/15 01:50:54:251',19,4,0
332,'2021/02/15 01:50:54:260',19,4,0
333,'2021/02/15 01:50:54:269',19,4,0
334,'2021/02/15 01:50:54:279',19,4,0
335,'2021/02/15 01:50:54:290',19,4,0
336,'2021/02/15 01:50:54:299',19,4,0
337,'2021/02/15 01:50:54:310',19,4,0
338,'2021/02/15 01:50:54:319',19,4,0
339,'2021/02/15 01:50:54:330',19,4,0
340,'2021/02/15 01:50:54:339',19,9,0
341,'2021/02/15 01:50:54:350',19,9,0
342,'2021/02/15 01:50:54:360',19,9,0
343,'2021/02/15 01:50:54:370',19,9,0
344,'2021/02/15 01:50:54:379',19,9,0
345,'2021/02/15 01:50:54:390',19,9,0
346,'2021/02/15 01:50:54:399',19,9,0
347,'2021/02/15 01:50:54:409',19,9,0
348,'2021/02/15 01:50:54:420',19,9,0
349,'2021/02/15 01:50:54:429',19,9,0
350,'2021/02/15 01:50:54:439',19,9,0
351,'2021/02/15 01:50:54:449',19,9,0
352,'2021/02/15 01:50:54:459',19,9,0
353,'2021/02/15 01:50:54:469',19,9,0
354,'2021/02/15 01:50:54:479',19,9,0
355,'2021/02/15 01:50:54:488',19,9,0
356,'2021/02/15 01:50:54:498',19,7,0
357,'2021/02/15 01:50:54:509',19,7,0
358,'2021/02/15 01:50:54:519',19,7,0
359,'2021/02/15 01:50:54:529',19,7,0
360,'2021/02/15 01:50:54:539',19,7,0
361,'2021/02/15 01:50:54:548',19,7,0
362,'2021/02/15 01:50:54:558',19,7,0
363,'2021/02/15 01:50:54:569',19,7,0
364,'2021/02/15 01:50:54:579',19,7,0
365,'2021/02/15 01:50:54:589',19,7,0
366,'2021/02/15 01:50:54:599',19,7,0
367,'2021/02/15 01:50:54:609',19,7,0
368,'2021/02/15 01:50:54:619',19,7,0
369,'2021/02/15 01:50:54:630',19,7,0
370,'2021/02/15 01:50:54:639',19,7,0
371,'2021/02/15 01:50:54:650',19,6,0
372,'2021/02/15 01:50:54:659',19,6,0
373,'2021/02/15 01:50:54:670',19,6,0
374,'2021/02/15 01:50:54:679',19,6,0
375,'2021/02/15 01:50:54:689',19,6,0
376,'2021/02/15 01:50:54:700',19,6,0
377,'2021/02/15 01:50:54:709',19,6,0
378,'2021/02/15 01:50:54:720',19,6,0
379,'2021/02/15 01:50:54:730',19,6,0
380,'2021/02/15 01:50:54:740',19,6,0
381,'2021/02/15 01:50:54:749',19,6,0
382,'2021/02/15 01:50:54:759',19,6,0
383,'2021/02/15 01:50:54:770',19,6,0
384,'2021/02/15 01:50:54:779',19,6,0
385,'2021/02/15 01:50:54:789',19,6,0
386,'2021/02/15 01:50:54:800',19,6,0
387,'2021/02/15 01:50:54:809',19,6,0
388,'2021/02/15 01:50:54:820',19,6,0
389,'2021/02/15 01:50:54:829',19,6,0
390,'2021/02/15 01:50:54:839',19,6,0
391,'2021/02/15 01:50:54:850',19,6,0
392,'2021/02/15 01:50:54:859',19,6,0
393,'2021/02/15 01:50:54:870',19,6,0
394,'2021/02/15 01:50:54:880',19,6,0
395,'2021/02/15 01:50:54:889',19,6,0
396,'2021/02/15 01:50:54:899',19,6,0
397,'2021/02/15 01:50:54:910',19,6,0
398,'2021/02/15 01:50:54:920',19,6,0
399,'2021/02/15 01:50:54:930',19,6,0
400,'2021/02/15 01:50:54:939',19,6,0
401,'2021/02/15 01:50:54:950',19,5,0
402,'2021/02/15 01:50:54:959',19,5,0
403,'2021/02/15 01:50:54:970',19,5,0
404,'2021/02/15 01:50:54:979',19,5,0
405,'2021/02/15 01:50:54:990',19,5,0
406,'2021/02/15 01:50:55:000',19,5,0
407,'2021/02/15 01:50:55:009',19,5,0
408,'2021/02/15 01:50:55:019',19,5,0
409,'2021/02/15 01:50:55:030',19,5,0
410,'2021/02/15 01:50:55:039',19,5,0
411,'2021/02/15 01:50:55:050',19,5,0
